Escenario,Seed,Fitness,Tiempo_s,Es_Valido
C1_Escala_50,1,2.5476800000000006,186.52015733718872,True
C1_Escala_50,2,2.167200000000001,180.79779195785522,True
C1_Escala_50,3,2.1672000000000007,170.11268854141235,True
C1_Escala_50,4,2.5672000000000006,166.21099710464478,True
C1_Escala_50,5,2.5396800000000006,167.15938568115234,True
C1_Escala_50,6,2.119440000000001,150.62274193763733,True
C1_Escala_50,7,2.547680000000001,149.1268298625946,True
C1_Escala_50,8,2.1787200000000007,150.57470107078552,True
C1_Escala_50,9,2.5411200000000007,150.83420872688293,True
C1_Escala_50,10,2.1152000000000006,153.2808485031128,True
C1_Escala_50,11,2.124640000000001,151.4421718120575,True
C1_Escala_50,12,2.571440000000001,151.03107380867004,True
C1_Escala_50,13,2.5822400000000005,149.44315910339355,True
C1_Escala_50,14,2.1627200000000006,149.61640548706055,True
C1_Escala_50,15,2.119440000000001,149.96651101112366,True
C1_Escala_50,16,2.121840000000001,150.50238966941833,True
C1_Escala_50,17,2.1542400000000006,151.50375247001648,True
C1_Escala_50,18,2.113120000000001,154.58488416671753,True
C1_Escala_50,19,2.2290400000000004,144.66902685165405,True
C1_Escala_50,20,2.167200000000001,142.57412910461426,True
C1_Escala_50,21,2.197520000000001,142.65737771987915,True
C1_Escala_50,22,2.117360000000001,143.830796957016,True
C1_Escala_50,23,2.178000000000001,142.17105531692505,True
C1_Escala_50,24,2.1462400000000006,142.64030742645264,True
C1_Escala_50,25,2.210720000000001,141.75095868110657,True
C1_Escala_50,26,2.497840000000001,142.9996519088745,True
C1_Escala_50,27,2.5932800000000005,144.1520709991455,True
C1_Escala_50,28,2.132400000000001,142.17003345489502,True
C1_Escala_50,29,2.556400000000001,169.0485713481903,True
C1_Escala_50,30,2.497840000000001,147.0398976802826,True
C2_Escala_75,1,2.3103703703703697,220.05878043174744,True
C2_Escala_75,2,3.6260740740740736,218.6897747516632,True
C2_Escala_75,3,2.0956740740740734,218.96702027320862,True
C2_Escala_75,4,1.9475851851851849,220.3246705532074,True
C2_Escala_75,5,2.3636444444444438,221.62777066230774,True
C2_Escala_75,6,1.9471407407407404,212.42131638526917,True
C2_Escala_75,7,1.9176592592592583,216.56251430511475,True
C2_Escala_75,8,2.745362962962962,212.73231840133667,True
C2_Escala_75,9,1.9326518518518512,210.18452334403992,True
C2_Escala_75,10,2.3214814814814804,209.52602744102478,True
C2_Escala_75,11,2.3319999999999994,212.07839274406433,True
C2_Escala_75,12,2.260829629629629,212.89805507659912,True
C2_Escala_75,13,1.8631703703703695,213.03758096694946,True
C2_Escala_75,14,2.3108148148148144,211.83010244369507,True
C2_Escala_75,15,2.736681481481481,214.4599585533142,True
C2_Escala_75,16,1.9367111111111106,212.70213627815247,True
C2_Escala_75,17,1.9197629629629627,210.30496764183044,True
C2_Escala_75,18,2.7582518518518513,215.99578380584717,True
C2_Escala_75,19,2.3851851851851844,215.84763383865356,True
C2_Escala_75,20,2.2845925925925923,212.17752885818481,True
C2_Escala_75,21,2.3751407407407403,213.45269107818604,True
C2_Escala_75,22,2.274933333333333,212.24756526947021,True
C2_Escala_75,23,1.9160888888888885,209.62532496452332,True
C2_Escala_75,24,2.260829629629629,217.89957880973816,True
C2_Escala_75,25,2.471229629629629,211.64547610282898,True
C2_Escala_75,26,2.3380148148148137,212.23083305358887,True
C2_Escala_75,27,2.28234074074074,210.57922434806824,True
C2_Escala_75,28,1.973096296296296,210.68636202812195,True
C2_Escala_75,29,1.9919703703703697,213.02544403076172,True
C2_Escala_75,30,2.796829629629629,212.4404890537262,True
C3_Escala_100,1,2.40932,277.73042130470276,True
C3_Escala_100,2,1.93412,277.45992493629456,True
C3_Escala_100,3,1.97412,281.48635745048523,True
C3_Escala_100,4,2.41712,279.67601895332336,True
C3_Escala_100,5,2.0679600000000002,281.51597714424133,True
C3_Escala_100,6,2.0354,280.41048192977905,True
C3_Escala_100,7,1.9902000000000002,280.2065236568451,True
C3_Escala_100,8,2.0532,281.628613948822,True
C3_Escala_100,9,2.0254,284.8435163497925,True
C3_Escala_100,10,2.05512,277.303097486496,True
C3_Escala_100,11,2.3902800000000006,277.80355072021484,True
C3_Escala_100,12,2.04252,281.1440119743347,True
C3_Escala_100,13,2.0289200000000003,281.6810827255249,True
C3_Escala_100,14,2.0671600000000003,283.48051476478577,True
C3_Escala_100,15,2.4024400000000004,280.485422372818,True
C3_Escala_100,16,2.05788,280.4782807826996,True
C3_Escala_100,17,1.6266000000000003,284.71965193748474,True
C3_Escala_100,18,2.0546,276.5335946083069,True
C3_Escala_100,19,1.9951600000000003,276.96618247032166,True
C3_Escala_100,20,1.99728,280.7101414203644,True
C3_Escala_100,21,1.9236400000000002,277.12963008880615,True
C3_Escala_100,22,1.6667999999999998,281.1287531852722,True
C3_Escala_100,23,2.0098000000000003,280.70821166038513,True
C3_Escala_100,24,2.0018000000000002,284.22927713394165,True
C3_Escala_100,25,2.0351999999999997,283.7631721496582,True
C3_Escala_100,26,2.3915200000000003,281.21293592453003,True
C3_Escala_100,27,2.05072,281.63299345970154,True
C3_Escala_100,28,2.4158800000000005,278.46052503585815,True
C3_Escala_100,29,1.5820800000000002,340.90418338775635,True
C3_Escala_100,30,2.02684,314.9297800064087,True
